goods_id,goods_name,goods_price,goods_publish,goods_scale,goods_version
0479,南中國海含臺灣附近,450,2016/3/31,"1:2,500,000",4
0478,太平島及鄭和群礁(南沙群島),450,2016/3/31,"1:75,000",4
0476,南沙群島,450,2016/3/31,"1:750,000",4
0474,南中國海南部東區,450,2016/3/31,"1:1,200,000",4
0473,南中國海南部西區,450,2013/5/31,"1:1,200,000",4
0472,南中國海北部西區,450,2013/5/31,"1:1,200,000",4
0471B,呂宋海峽,450,2013/9/30,"1:500,000",3
0471,南中國海北部東區,450,2010/4/30,"1:1,200,000",5
0463,北海港,450,1983/6/30,"1:25,000",1
0462,海口灣至高島群島  分圖：北海港、南灣,450,1979/12/31,"1:300,000",2
0461A,八所港及附近,450,1982/12/31,"1:12,500",1
0457,海口灣  分圖：海口灣,450,1982/6/30,"1:25,000",2
0451,廣州灣附近  分圖：臨海港道口及黃坡河口,450,1981/6/30,"1:50,000",3
0449,湛江港,450,1986/6/30,"1:25,000",3
0446,海陵山港,400,1986/11/30,"1:25,000",1
0445,海南島及東京海灣,450,1987/12/31,"1:750,000",2
0429,黃埔港,450,1985/10/31,"1:10,000",1
0427,小蒲台至舢舨洲,450,1987/12/31,"1:75,000",1
0426A,舢舨洲至坭洲頭,450,1986/12/31,"1:25,000",1
0421,香港西方大濠島至九龍角,450,1985/6/30,"1:12,000",4
0420,香港東方黑角頭至九龍角,450,1985/6/30,"1:12,000",4
0419,香港島  分圖：佛堂門,450,1985/6/30,"1:30,000",3
0412,香港附近,450,1986/6/30,"1:100,000",3
0405,上川島至大星簪礁,450,1985/6/30,"1:300,000",3
0404A,汕尾港  分圖：甲子港及附近,450,1983/3/31,"1:10,000",1
61901,福澳灣,400,2015/10/31,"1:2,500",2
61802,水頭,400,2002/10/31,"1:7,500",1
61801,金門料羅港,450,2010/9/15,"1:2,500",2
61709,龍門及尖山漁港,400,2011/7/15,"1:2,500",2
61705,鎖港漁港,400,2011/7/15,"1:2,500",2
61610,綠島漁港,400,2008/6/30,"1:1,500",1
61604,富岡(伽藍)漁港,400,2010/10/15,"1:1,500",1
61605,金樽漁港,400,2008/6/30,"1:2,000",1
61603,新港漁港,450,2010/10/15,"1:3,000",1
61602,烏石鼻漁港,400,2008/6/30,1:500,1
61601,大武漁港,400,2006/8/31,"1:5,000",2
61501,花蓮漁港,400,2013/3/31,"1:7,500",2
61402,鹽埔漁港,400,2012/10/31,"1:2,000",2
61403,後壁湖漁港,400,2008/3/31,"1:3,000",1
61401,東港漁港,400,2007/6/30,"1:5,000",2
61307,旗津漁港,400,2012/8/15,"1:1,000",2
61306,旗后漁港,400,2008/3/31,1:500,1
61304,鼓山漁港,400,2008/6/30,"1:1,500",1
61305,小港漁港,400,2008/3/31,"1:2,000",1
61303,東沙島附近,450,2012/4/30,"1:7,500",2
61302,東沙島,450,2012/3/31,"1:5,000",2
61204,彌陀漁港,400,2008/6/30,"1:2,000",1
61301,前鎮漁港,400,2012/8/15,"1:3,000",3
61202,蚵仔寮漁港,400,2008/3/31,"1:2,000",1
61201,興達港,450,2012/8/15,"1:5,000",4
61002,將軍漁港,400,2003/8/31,"1:10,000",2
60902,東石漁港,450,2009/9/30,"1:1,500",1
61001,安平港,400,2014/8/31,"1:10,000",6
60901,布袋漁港,400,2009/8/31,"1:7,500",3
60702,梧棲漁港含淺水船渠,400,2011/7/15,"1:2,000",2
60314,深澳漁港,400,2011/7/15,"1:2,500",2
60701,臺中港航道含梧棲漁港,400,2011/9/15,"1:10,000",3
60304,棉花嶼,400,2011/7/15,"1:3,000",1
60303,花瓶嶼,400,2011/4/15,"1:3,000",1
60302,龍洞南口遊艇港,400,2005/6/30,"1:2,000",2
60202,鳥石漁港,400,2009/9/30,"1:4,000",1
60301,八斗子漁港,400,2017/3/31,"1:5,000",4
60201,南方澳漁港,400,2012/11/30,"1:2,500",3
04529,澎湖群島東南部,450,2016/5/31,"1:50,000",2
04528,澎湖群島西南部,450,2016/5/31,"1:50,000",3
04527,閩江口附近,450,2010/10/15,"1:50,000",2
04526,金門及廈門附近,450,2010/10/15,"1:50,000",2
04525,澎湖群島北部,450,2016/5/31,"1:50,000",4
04523,大武至大板埒,450,2006/11/15,"1:50,000",2
04524,蘭嶼及附近,450,2010/9/15,"1:50,000",3
04522,知本至大武,450,2006/9/30,"1:50,000",3
04521,東河至知本,450,2010/9/15,"1:50,000",3
04520,長濱至東河,450,2011/6/15,"1:50,000",4
04518,新城至水璉鼻含花蓮港,450,2011/5/15,"1:50,000",4
04519,水璉鼻至長濱,450,2011/6/15,"1:50,000",4
04517,烏石鼻至新城,450,2010/7/31,"1:50,000",3
04516,蘇澳港及附近,450,2012/11/30,"1:50,000",4
04515,三貂角至蘇澳港,450,2011/6/15,"1:50,000",3
04514,深澳灣至三貂角,450,2011/5/15,"1:50,000",2
04512,白沙岬至淡水河,450,2010/10/15,"1:50,000",4
04513,臺北港至深澳灣,450,2014/3/31,"1:50,000",4
04511,中港泊地至白沙岬,450,2010/10/15,"1:50,000",3
04510,中港泊地至大安港,450,2005/8/23,"1:50,000",2
04509,鹿港泊地至大安港,450,2011/4/15,"1:50,000",3
04508,鹿港泊地至海口泊地,450,2004/7/7,"1:50,000",3
04507,布袋泊地至海口泊地,450,2011/7/15,"1:50,000",4
04506,安平港至布袋泊地,450,2014/10/31,"1:50,000",4
04504,枋寮泊地至高雄港含琉球嶼,450,2010/10/15,"1:50,000",3
04505,高雄港至安平港,450,2006/8/31,"1:50,000",3
04503,琉球嶼附近海底地形圖,450,2010/9/15,"1:50,000",3
04502,車城泊地至枋寮泊地,450,2010/9/15,"1:50,000",3
0372,東吉嶼及附近,450,2013/7/31,"1:16,000",1
04501,出風鼻至車城泊地,450,2010/7/31,"1:50,000",3
0371,吉貝嶼及白沙島附近,450,2011/9/15,"1:15,000",1
0365,東港泊地,450,2013/7/31,"1:15,000",1
0361A,麥寮港,450,2014/8/31,"1:10,000",4
0361,麥寮港及附近,450,2014/8/31,"1:25,000",3
0358,布袋商港,400,2014/8/31,"1:7,500",5
0360,基隆至釣魚臺列嶼,450,2014/8/31,"1:250,000",4
0357,臺中港,450,2017/3/31,"1:20,000",12
0356,海口泊地至舊港泊地,450,2010/7/31,"1:150,000",7
0355,臺北港及附近,450,2013/10/31,"1:35,000",2
0354,淡水河口,400,2009/6/30,"1:7,500",16
0354A,臺北港,450,2016/10/31,"1:7,500",6
0353B,深澳灣,400,2002/10/31,"1:4,000",3
0353A,基隆港,450,2016/10/31,"1:10,000",16
0353,基隆港及附近(野柳半島至深澳灣),450,2016/10/31,"1:20,000",10
0352A,彭佳嶼及附近,400,2010/10/15,"1:5,000",2
0352,舊港泊地至三貂角,450,2011/5/15,"1:150,000",7
0351A,蘇澳港,400,2012/11/30,"1:10,000",11
0351,花蓮港及附近,450,2013/3/31,"1:10,000",9
0349A,和平港,450,2006/6/30,"1:7,500",2
0350,三貂角至花蓮港,450,2011/5/15,"1:150,000",7
0349,花蓮港,450,2013/3/31,"1:5,000",13
0348A,新港泊地附近,450,2011/7/15,"1:10,000",4
0347,綠島,450,1900/1/2,"1:15,000",1
0348,花蓮港至臺東,450,2011/3/15,"1:150,000",7
0344,蘭嶼,450,2013/7/31,"1:25,000",1
0343,台東至鵝鑾鼻,450,2010/9/15,"1:150,000",7
0341D,琉球嶼,450,2011/4/15,"1:7,500",3
0341C,高雄港及附近,450,2010/9/15,"1:30,000",8
0341B,高雄港第二港口,450,2010/7/31,"1:10,000",9
0341A,高雄港第一港口,450,2010/9/15,"1:10,000",11
0340,鵝鑾鼻至高雄港,450,2011/3/15,"1:150,000",9
0340A,南灣,400,2007/8/31,"1:30,000",1
0338,安平港至琉球嶼,450,2010/4/30,"1:120,000",2
0336,澎湖水道,450,2010/10/15,"1:150,000",9
0334,馬公港及附近,450,2013/7/31,"1:20,000",1
0335,馬公港,450,2016/5/31,"1:7,500",2
0331,澎湖群島,450,2017/3/31,"1:100,000",7
0328A,溫州灣至臺灣中部,450,2010/6/30,"1:720,000",4
0328B,臺灣中部至東沙島,450,2013/3/31,"1:720,000",5
0324,廈門內港,450,1982/6/30,"1:5,000",2
0320A,崇武附近,400,2011/4/15,"1:25,000",2
0322,廈門島及附近,450,2013/5/31,"1:30,000",3
0319A,東碇島至深滬灣,450,2012/4/30,"1:100,000",3
0314,臺灣至沖繩島,450,2013/7/31,"1:750,000",2
0319,南澎列島至烏坵嶼含澎湖群島,450,2011/4/15,"1:300,000",4
0313,臺灣及附近島嶼,450,2017/3/31,"1:500,000",8
0312,臺灣海峽,450,2011/3/15,"1:650,000",5
0308B,閩江口錨地,450,1982/6/30,"1:10,000",1
0308A,閩江口附近(莒光列島至北茭半島),450,2014/3/31,"1:65,000",3
0308,閩江口,450,2014/5/31,"1:50,000",4
0307,閩江口至香港含臺灣,450,2010/4/30,"1:1,000,000",6
0304B,馬祖列島及莒光列島,450,2015/8/31,"1:60,000",2
0306,烏坵嶼至東引島含臺灣北部,450,2011/3/15,"1:300,000",5
0266A,青島港黃島油碼頭,400,1985/10/31,"1:5,000",1
0304,莒光列島至東引島含閩江口,450,2011/4/15,"1:100,000",3
0266,青島港及附近,450,1983/3/31,"1:25,000",2
0255,榮成灣,400,1986/4/30,"1:20,000",1
0251,煙台港及附近,450,1983/6/30,"1:40,000",2
0239,長山港道及附近,400,1984/6/30,"1:50,000",2
0235A,天津新港及附近,450,1984/6/30,"1:40,000",1
0235B,天津新港,450,1986/4/30,"1:20,000",1
0230,秦皇島港及錨地,450,1986/6/30,"1:17,500",2
0229,秦皇島港,450,1984/4/30,"1:50,000",1
0213B,大連大港區及附近,450,1986/4/30,"1:12,500",1
0212,大連灣及附近,450,1984/6/30,"1:35,000",2
0213A,大連新港油碼頭,400,1985/10/31,"1:5,000",1
0138,溫州灣  分圖：溫州灣碼頭,450,1985/2/28,"1:25,000",2
0139A,隘頑灣,400,1984/4/30,"1:50,000",1
0137,溫州灣及附近,450,1981/6/30,"1:50,000",2
0132,台州列島及附近,450,1982/2/28,"1:30,000",2
0119A,杭州灣口附近,450,1983/6/30,"1:75,000",1
0125,寧波外港,450,1983/6/30,"1:20,000",1
0113,黃浦江(一)  吳淞口至高橋港,450,1987/6/30,"1:10,000",3
0111,吳淞口錨地及附近,450,1982/6/30,"1:45,000",3
0112,吳淞口錨地,450,1982/5/31,"1:12,500",3
0110,揚子江口附近,450,1981/6/30,"1:150,000",7
0106,揚子江口至廈門含臺灣北部,450,2010/4/30,"1:1,000,000",6
01021,山東高角至上海港,450,1994/6/30,"1:750,000",1
0014,南中國海,450,2012/4/30,"1:2,400,000",3
0013,沉船及障礙物圖(閩江口至香港含台灣),450,2004/11/25,"1:1,000,000",4
00091,南沙群島含曾母暗沙,450,2014/5/31,"1:1,000,000",1
00081,西沙群島至南沙群島,450,2014/5/31,"1:1,000,000",1
00071,中沙群島至南沙群島,450,2014/5/31,"1:1,000,000",1
00061,廣州至北海含海南島,450,2014/3/31,"1:1,000,000",1
00051,福州至廣州含臺灣,450,2013/7/31,"1:1,000,000",2
00041,上海至福州含臺灣北部,450,2013/7/31,"1:1,000,000",2
00031,青島至上海含韓國西南岸,450,2013/7/31,"1:1,000,000",2
00021,丹東至青島含韓國西岸,450,2014/3/31,"1:1,000,000",2
0001A(四),中華民國海岸全圖,450,2011/9/15,"1:2,000,000",2
0001A(三),中華民國海岸全圖,450,2011/9/15,"1:2,000,000",2
0001A(二),中華民國海岸全圖,450,2011/9/15,"1:2,000,000",2
0001A(一),中華民國海岸全圖,450,2011/9/15,"1:2,000,000",2
00011,東海及日本南部附近,450,2013/3/31,"1:2,500,000",2
51,中華民國至西太平洋,450,2015/8/31,"1:6,000,000",1
0012,帕邁拉島至東加群島,450,2015/10/31,"1:4,000,000",1
0011,馬紹爾群島至諾福克島,450,2015/8/31,"1:4,000,000",1
0010,夏威夷群島,450,2015/10/31,"1:4,000,000",1
0009,西北太平洋至馬紹爾群島,450,2015/8/31,"1:4,000,000",1
0008,索馬利亞南部至莫三比克海盆,450,2015/8/31,"1:4,000,000",1
0007,印度洋,450,2015/10/31,"1:4,000,000",1
0006,紅海至阿拉伯海,450,2015/3/31,"1:4,000,000",1
0005,阿拉伯海東部至泰國,450,2015/3/31,"1:4,000,000",1
0004,婆羅洲至東印度洋,450,2015/3/31,"1:4,000,000",1
0003,菲律賓南部至澳大利亞,450,2015/3/31,"1:4,000,000",1
